date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:37	31174/31174	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:35%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=731	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe8f14.html	(from http://recept.mohem.se/)
19:45:38	31569/31569	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:36%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=730	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe7bf9.html	(from http://recept.mohem.se/)
19:45:39	30295/30295	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:36%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=729	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe3048.html	(from http://recept.mohem.se/)
19:45:39	47414/47414	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:37%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=721	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe688e.html	(from http://recept.mohem.se/)
19:45:41	25058/25058	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:37%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=612	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe6ba0.html	(from http://recept.mohem.se/)
19:45:42	24220/24220	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:40%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=640	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipeb5d0.html	(from http://recept.mohem.se/)
19:45:43	28045/28045	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:40%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=605	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipea41f.html	(from http://recept.mohem.se/)
19:45:44	23841/23841	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:42%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=285	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe7648.html	(from http://recept.mohem.se/)
19:45:45	24100/24100	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:42%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=402	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipeb57f.html	(from http://recept.mohem.se/)
19:45:46	24092/24092	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:44%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=669	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe0efd.html	(from http://recept.mohem.se/)
